Date,Open,High,Low,Close,Adj Close,Volume
2018-11-20,2.1008400917053223,2.1008400917053223,1.6706680059432983,1.6706680059432983,1.6706680059432983,87465
2018-11-21,1.8387349843978882,2.434973955154419,1.8387349843978882,2.1188480854034424,2.1188480854034424,38984
2018-11-23,2.2008800506591797,2.2008800506591797,1.9587839841842651,1.9607839584350586,1.9607839584350586,14994
2018-11-26,1.940775990486145,1.940775990486145,1.5526210069656372,1.676671028137207,1.676671028137207,24990
2018-11-27,1.7607040405273438,1.800719976425171,1.7006800174713135,1.7927169799804688,1.7927169799804688,21991
2018-11-28,1.8687469959259033,1.8707480430603027,1.7947180271148682,1.7947180271148682,1.7947180271148682,14494
2018-11-29,1.808722972869873,1.8267309665679932,1.4005600214004517,1.6266510486602783,1.6266510486602783,57477
2018-11-30,1.5606240034103394,1.570628046989441,1.5606240034103394,1.570628046989441,1.570628046989441,16993
2018-12-03,1.5406160354614258,1.698678970336914,1.5406160354614258,1.688675045967102,1.688675045967102,16993
2018-12-04,1.686674952507019,1.686674952507019,1.5186070203781128,1.6206480264663696,1.6206480264663696,2999
2018-12-06,1.3225289583206177,1.6506600379943848,1.3225289583206177,1.624650001525879,1.624650001525879,90964
2018-12-07,1.5526210069656372,1.6506600379943848,1.5526210069656372,1.600640058517456,1.600640058517456,11995
2018-12-10,1.5986390113830566,1.600640058517456,1.3985589742660522,1.3985589742660522,1.3985589742660522,14494
2018-12-11,1.5986390113830566,1.5986390113830566,1.580631971359253,1.5986390113830566,1.5986390113830566,21491
2018-12-12,1.600640058517456,1.6206480264663696,1.600640058517456,1.6206480264663696,1.6206480264663696,6497
2018-12-13,1.600640058517456,1.7767109870910645,1.600640058517456,1.7707079648971558,1.7707079648971558,13495
2018-12-14,1.712684988975525,1.7306920289993286,1.600640058517456,1.600640058517456,1.600640058517456,69972
2018-12-17,1.7607040405273438,1.7607040405273438,1.4765909910202026,1.4765909910202026,1.4765909910202026,14994
2018-12-18,1.460584044456482,1.698678970336914,1.356542944908142,1.6706680059432983,1.6706680059432983,59976
2018-12-19,1.6746699810028076,1.6746699810028076,1.600640058517456,1.600640058517456,1.600640058517456,16493
2018-12-20,1.600640058517456,1.6746699810028076,1.5646259784698486,1.5646259784698486,1.5646259784698486,27989
2018-12-21,1.438575029373169,1.438575029373169,1.438575029373169,1.438575029373169,1.438575029373169,4998
2018-12-24,1.6206480264663696,1.6206480264663696,1.460584044456482,1.460584044456482,1.460584044456482,3499
2018-12-26,1.460584044456482,1.460584044456482,1.460584044456482,1.460584044456482,1.460584044456482,500
2018-12-27,1.3445379734039307,1.500599980354309,1.3445379734039307,1.4625849723815918,1.4625849723815918,12995
